                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.95862,                0.68646,                 1.1731,                0.88469,                0.85238,                0.90032,                0.58259,                 1.2616,                0.68725,                 1.3705,             0.00023121,             0.00023121,             0.00023121
                     89,                0.93619,                0.67769,                 1.1655,                0.89786,                0.85278,                0.90963,                0.58395,                 1.2802,                 0.6724,                 1.3895,             0.00021471,             0.00021471,             0.00021471
                     90,                0.95549,                0.60071,                 1.1676,                0.89354,                0.82739,                0.90826,                0.58995,                 1.2595,                0.67839,                 1.3711,             0.00019821,             0.00019821,             0.00019821
                     91,                0.91546,                0.56775,                 1.1557,                0.89758,                0.84168,                0.90626,                0.58884,                 1.2502,                0.67602,                 1.3557,              0.0001817,              0.0001817,              0.0001817
                     92,                0.88533,                0.54361,                 1.1351,                0.87984,                0.87382,                0.91366,                0.59298,                 1.2543,                0.65738,                 1.3681,              0.0001652,              0.0001652,              0.0001652
                     93,                0.88942,                0.54163,                 1.1379,                0.88689,                0.87149,                0.91595,                0.59048,                 1.2514,                0.66552,                 1.3579,              0.0001487,              0.0001487,              0.0001487
                     94,                0.87673,                0.53571,                 1.1348,                0.88486,                0.87142,                0.91232,                 0.5947,                 1.2612,                0.66161,                 1.3797,             0.00013219,             0.00013219,             0.00013219
                     95,                0.86522,                0.52533,                 1.1192,                0.87162,                0.87848,                0.91254,                0.60292,                 1.2401,                0.65166,                 1.3595,             0.00011569,             0.00011569,             0.00011569
                     96,                0.84608,                0.52404,                 1.1149,                0.88951,                0.87644,                0.91653,                0.60353,                 1.2438,                0.65957,                 1.3624,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.85211,                0.52491,                 1.1094,                0.88971,                0.87032,                0.91403,                0.60375,                 1.2469,                0.65775,                 1.3644,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.83328,                0.50619,                 1.0976,                0.87983,                0.87615,                0.91686,                0.60409,                 1.2457,                0.65266,                  1.366,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.82267,                0.50868,                 1.0976,                0.88908,                0.87594,                0.91956,                 0.6079,                 1.2396,                0.64914,                 1.3597,             4.9677e-05,             4.9677e-05,             4.9677e-05
